Plane Width,Plane Height,Number of Circles,Circle Radius,Number of Control Points,Brute Force Time,Spatial Hashing Time
360,200,200,1,200,2.569473,0.08166885
360,200,1000,0.5,1000,50.90909,1.545128
360,200,10,10,10,0.008581161,0.003154755
360,200,200,1,200,0.7500267,0.03283501
360,200,100,5,100,0.6348534,0.01541901
360,200,200,1,200,2.320877,0.07364845
360,200,2000,0.1,2000,178.5865,8.188881
360,200,500,0.5,500,4.315277,0.03683472
360,200,200,1,200,0.722229,0.00819397
360,200,200,1,200,0.722229,0.00819397
360,200,1000,0.5,1000,15.33316,0.09078979
360,200,10,10,10,0.001495361,0.001190186
360,200,100,5,100,0.1508789,0.006958008
360,200,2000,0.1,2000,75.08594,0.09579468
